연도,시도,시군구,stnId,참조관측소,매핑방식,연평균기온,겨울철_평균최저기온,겨울철_자료완전성,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_연평균,SPI3_최저월(최심가뭄),SPI3_최고월(최다습),SPI3_유효월수,연간관측일수,표고_m,표고_비고,토양수분_비고,비고
2021,경상북도,상주시,137,상주,동일지역,13.25,-4.84,True,24.36,1230.8,1.35,1841.7,2672.6,0.01,-0.84,1.31,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상북도,상주시,137,상주,동일지역,13.32,-4.6,True,25.14,891.2,1.41,1986.4,2814.6,-0.91,-1.95,-0.13,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상북도,상주시,137,상주,동일지역,13.93,-4.92,True,25.42,1670.6,1.24,2063.6,2912.0,0.33,-1.58,1.7,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상북도,상주시,137,상주,동일지역,14.64,-2.2,True,26.24,1469.9,1.24,2247.8,3103.2,0.83,-0.53,2.21,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상북도,상주시,137,상주,동일지역,13.95,-4.1,True,26.37,1137.7,1.31,2191.0,2994.6,-0.18,-1.5,1.33,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상북도,안동시,136,안동,동일지역,13.24,-5.0,True,25.15,934.4,1.66,1988.6,2810.4,0.03,-1.04,0.9,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상북도,안동시,136,안동,동일지역,12.71,-5.25,True,24.54,938.8,1.69,1906.0,2691.0,-0.28,-1.36,0.72,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상북도,안동시,136,안동,동일지역,12.77,-7.35,True,25.84,1078.0,1.65,1937.1,2740.8,0.37,-1.35,1.59,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상북도,안동시,136,안동,동일지역,12.94,-5.3,True,23.99,867.8,1.52,1807.5,2589.6,-0.06,-1.2,1.35,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상북도,안동시,136,안동,동일지역,12.59,-3.37,True,24.05,1211.8,1.61,1689.0,2456.0,0.21,-2.05,1.52,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상북도,안동시,136,안동,동일지역,12.76,-6.21,True,24.07,974.0,1.6,1759.6,2554.2,0.14,-0.73,1.73,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상북도,안동시,136,안동,동일지역,12.63,-6.42,True,24.8,655.7,1.62,1871.0,2664.7,-1.11,-2.41,-0.14,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상북도,안동시,136,안동,동일지역,13.37,-6.67,True,25.03,1518.7,1.45,1948.2,2780.4,0.62,-1.36,1.98,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상북도,안동시,136,안동,동일지역,14.19,-3.61,True,25.99,1070.6,1.46,2185.0,3029.4,0.43,-1.25,1.73,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상북도,안동시,136,안동,동일지역,13.48,-6.03,True,26.23,887.2,1.54,2102.9,2893.4,-0.31,-1.69,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상북도,영덕군,277,영덕,동일지역,13.82,-1.52,True,24.02,1088.3,2.79,1893.0,2738.3,0.01,-0.95,0.88,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상북도,영덕군,277,영덕,동일지역,13.71,-1.05,True,23.87,880.3,2.81,1932.2,2756.2,-0.59,-1.73,0.47,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상북도,영덕군,277,영덕,동일지역,13.45,-4.43,True,24.68,1365.4,2.89,1903.6,2744.1,0.5,-1.43,1.89,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상북도,영덕군,277,영덕,동일지역,14.27,-1.32,True,23.79,1455.9,2.66,1939.0,2783.0,0.37,-1.28,1.88,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상북도,영덕군,277,영덕,동일지역,13.56,0.34,True,23.11,1308.8,2.77,1678.1,2499.8,0.31,-2.13,2.17,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상북도,영덕군,277,영덕,동일지역,13.5,-2.59,True,22.98,1287.0,2.53,1689.6,2550.0,0.2,-0.96,1.29,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상북도,영덕군,277,영덕,동일지역,13.48,-2.62,True,23.81,802.2,2.63,1833.4,2697.9,-0.84,-1.97,0.16,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상북도,영덕군,277,영덕,동일지역,14.12,-2.46,True,23.96,1228.7,2.47,1857.8,2723.2,0.19,-0.98,1.2,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상북도,영덕군,277,영덕,동일지역,14.52,-0.59,True,25.14,848.4,2.73,2076.0,2933.3,-0.02,-1.6,1.89,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상북도,영덕군,277,영덕,동일지역,14.22,-2.5,True,25.6,1077.8,2.54,2037.3,2872.0,-0.14,-1.56,0.98,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상북도,울진군,130,울진,동일지역,13.27,-1.61,True,22.8,1196.3,2.53,1645.8,2477.2,-0.14,-1.29,0.86,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상북도,울진군,130,울진,동일지역,13.26,-0.98,True,22.73,857.5,2.5,1688.3,2490.1,-0.56,-1.82,1.1,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상북도,울진군,130,울진,동일지역,13.03,-3.98,True,23.46,1436.2,2.59,1700.5,2515.0,0.54,-1.36,2.28,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상북도,울진군,130,울진,동일지역,13.94,-1.28,True,22.93,1581.2,2.48,1741.6,2568.1,0.38,-1.19,2.26,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상북도,울진군,130,울진,동일지역,13.34,0.47,True,22.42,1336.2,2.55,1583.2,2384.9,0.41,-2.07,2.13,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상북도,울진군,130,울진,동일지역,13.5,-2.66,True,22.91,1158.9,2.49,1657.2,2496.0,-0.01,-1.62,1.65,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상북도,울진군,130,울진,동일지역,13.34,-2.71,True,23.38,1100.0,2.52,1735.7,2583.9,-0.66,-1.58,0.97,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상북도,울진군,130,울진,동일지역,14.15,-2.18,True,23.65,1317.0,2.43,1836.2,2705.2,0.28,-0.89,1.27,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상북도,울진군,130,울진,동일지역,14.47,-0.45,True,24.69,1017.3,2.37,1991.9,2850.4,0.09,-1.33,1.74,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상북도,울진군,130,울진,동일지역,14.22,-2.14,True,25.24,1017.6,2.23,1997.2,2839.1,-0.35,-1.99,0.59,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,경상북도,포항시,138,포항,동일지역,15.24,0.29,True,25.44,1515.4,2.6,2174.4,3070.2,0.59,-0.96,1.63,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,경상북도,포항시,138,포항,동일지역,15.06,0.29,True,25.18,674.3,2.67,2188.9,3047.6,-1.08,-2.15,0.02,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,경상북도,포항시,138,포항,동일지역,14.91,-2.43,True,26.13,1284.3,2.75,2169.8,3062.8,0.34,-1.3,1.67,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,경상북도,포항시,138,포항,동일지역,15.57,0.33,True,24.9,1425.1,2.58,2167.2,3068.2,0.29,-0.92,1.58,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,경상북도,포항시,138,포항,동일지역,15.09,1.88,True,24.97,1238.9,2.72,2022.2,2923.6,0.27,-2.13,2.01,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,경상북도,포항시,138,포항,동일지역,15.21,-0.57,True,24.91,1405.7,2.7,2078.8,3014.4,0.38,-0.75,1.57,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,경상북도,포항시,138,포항,동일지역,15.14,-0.96,True,25.62,1061.6,2.69,2217.8,3129.9,-0.66,-1.53,1.0,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,경상북도,포항시,138,포항,동일지역,15.75,-0.68,True,25.64,1112.2,2.76,2263.2,3198.8,-0.06,-1.61,0.86,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,경상북도,포항시,138,포항,동일지역,16.16,1.38,True,26.56,1089.4,2.84,2416.6,3324.3,0.28,-1.48,1.71,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,경상북도,포항시,138,포항,동일지역,15.74,-0.58,True,27.09,1012.9,2.73,2366.0,3257.3,-0.31,-1.46,1.13,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,전라남도,광양시,266,광양시,동일지역,15.38,0.48,True,25.59,1607.4,1.91,2254.5,3174.0,0.34,-1.44,1.69,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,전라남도,광양시,266,광양시,동일지역,14.85,0.08,True,25.43,824.4,1.91,2207.3,3076.6,-0.91,-1.99,1.35,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,전라남도,광양시,266,광양시,동일지역,14.71,-2.35,True,26.11,1695.0,1.85,2158.7,3060.4,0.37,-1.32,1.82,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,전라남도,광양시,266,광양시,동일지역,15.43,0.19,True,24.57,1566.1,1.75,2156.3,3065.5,0.11,-0.81,1.48,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,전라남도,광양시,266,광양시,동일지역,15.06,1.86,True,24.54,1821.0,1.74,2027.0,2937.5,0.09,-1.91,1.33,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,전라남도,광양시,266,광양시,동일지역,15.54,-0.24,True,25.3,1423.0,1.67,2205.0,3175.6,-0.28,-1.22,0.62,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,전라남도,광양시,266,광양시,동일지역,15.24,-0.69,True,25.49,1054.7,1.98,2270.6,3201.4,-0.99,-2.38,-0.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,전라남도,광양시,266,광양시,동일지역,15.6,-1.13,True,25.55,2274.6,1.76,2277.6,3220.2,0.68,-0.95,2.0,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,전라남도,광양시,266,광양시,동일지역,16.21,1.08,True,26.32,2027.8,1.84,2496.5,3418.5,0.91,-0.45,1.82,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,전라남도,광양시,266,광양시,동일지역,15.49,-1.4,True,26.47,1412.3,1.8,2385.5,3276.6,-0.28,-1.6,0.19,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,전라남도,순천시,174,순천,동일지역,13.93,-2.34,True,25.1,1614.6,1.74,2029.9,2871.7,0.47,-1.46,1.79,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,전라남도,순천시,174,순천,동일지역,12.78,-3.45,True,24.26,883.4,1.83,1806.2,2591.4,-0.93,-1.85,0.66,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,전라남도,순천시,174,순천,동일지역,12.77,-5.56,True,24.61,1532.4,1.78,1734.6,2542.6,0.12,-1.45,1.3,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,전라남도,순천시,174,순천,동일지역,13.17,-2.97,True,23.08,1568.2,1.85,1716.7,2521.7,0.06,-1.0,1.03,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,전라남도,순천시,174,순천,동일지역,13.08,-1.61,True,23.65,1906.1,2.06,1662.8,2448.7,0.37,-1.93,1.77,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,전라남도,순천시,174,순천,동일지역,13.56,-3.97,True,24.08,1320.9,1.88,1825.0,2659.0,-0.34,-1.08,0.88,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,전라남도,순천시,174,순천,동일지역,13.24,-4.04,True,24.4,987.0,2.03,1845.4,2680.6,-1.16,-2.42,-0.57,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,전라남도,순천시,174,순천,동일지역,13.53,-4.27,True,24.25,2139.5,1.78,1864.1,2709.6,0.56,-0.49,1.74,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,전라남도,순천시,174,순천,동일지역,13.86,-1.79,True,24.12,1970.6,1.7,1932.1,2781.0,1.03,-0.27,1.79,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,전라남도,순천시,174,순천,동일지역,13.11,-4.38,True,24.49,1583.6,1.7,1924.4,2705.7,-0.11,-1.53,0.84,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,전라남도,여수시,168,여수,동일지역,15.3,1.66,True,24.97,1616.6,3.87,2157.5,3073.9,0.4,-1.66,1.54,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,전라남도,여수시,168,여수,동일지역,15.05,1.24,True,25.05,1019.6,3.91,2149.0,3019.5,-0.56,-2.19,1.65,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,전라남도,여수시,168,여수,동일지역,14.98,-0.9,True,25.67,1578.7,3.88,2122.2,3043.4,0.24,-1.4,1.46,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,전라남도,여수시,168,여수,동일지역,15.44,1.41,True,24.26,1529.9,3.77,2098.1,3018.7,0.17,-0.66,1.2,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,전라남도,여수시,168,여수,동일지역,15.07,3.17,True,24.08,1751.9,3.86,1954.6,2869.0,0.14,-1.66,1.63,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,전라남도,여수시,168,여수,동일지역,15.72,0.93,True,25.24,1571.2,3.89,2188.5,3164.2,-0.01,-1.24,1.55,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,전라남도,여수시,168,여수,동일지역,15.15,0.62,True,24.86,1067.4,4.01,2155.2,3079.0,-0.95,-2.5,0.05,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,전라남도,여수시,168,여수,동일지역,15.61,0.48,True,24.96,1935.4,3.63,2194.4,3140.3,0.43,-0.8,1.56,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,전라남도,여수시,168,여수,동일지역,16.29,2.45,True,25.76,1710.4,3.97,2419.1,3345.9,0.62,-1.3,1.53,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,전라남도,여수시,168,여수,동일지역,15.45,0.25,True,25.76,1183.7,3.82,2261.2,3157.3,-0.43,-1.25,0.56,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2016,전라북도,남원시,247,남원,동일지역,13.53,-3.45,True,25.01,1388.5,1.74,2014.5,2850.0,0.53,-0.97,1.6,11.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2017,전라북도,남원시,247,남원,동일지역,12.8,-4.43,True,24.74,851.3,1.59,1881.4,2659.0,-0.88,-2.14,0.32,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2018,전라북도,남원시,247,남원,동일지역,13.1,-6.58,True,25.85,1431.7,1.68,1958.3,2770.4,0.27,-0.84,1.67,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2019,전라북도,남원시,247,남원,동일지역,13.41,-4.47,True,24.18,1332.8,1.57,1899.2,2704.6,0.03,-0.73,1.2,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2020,전라북도,남원시,247,남원,동일지역,13.22,-2.17,True,24.56,2007.2,1.68,1803.8,2582.2,0.51,-2.26,2.11,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2021,전라북도,남원시,247,남원,동일지역,13.45,-4.64,True,24.56,1136.8,1.78,1910.9,2721.5,-0.33,-0.89,0.7,12.0,364,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2022,전라북도,남원시,247,남원,동일지역,12.94,-5.6,True,24.91,811.4,1.67,1901.0,2719.0,-1.2,-2.28,-0.39,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2023,전라북도,남원시,247,남원,동일지역,13.83,-5.79,True,25.38,1805.7,1.59,2081.2,2922.8,0.22,-1.24,1.79,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2024,전라북도,남원시,247,남원,동일지역,14.82,-1.59,True,26.1,1416.0,1.73,2287.5,3144.0,0.7,-0.32,2.56,12.0,366,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
2025,전라북도,남원시,247,남원,동일지역,13.88,-4.87,True,26.04,1708.1,1.63,2189.2,2995.9,0.19,-1.47,1.3,12.0,365,,이번 산출물에서 제외(사용자 요청) - 추후 국토지리정보원 자료로 보강 필요,ASOS 일자료 조회서비스 응답 항목에 토양수분 필드 자체가 없어 변수 제외,
